scenario;region;crop;water;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B_W;USA;MiscCrop;IRR;1.0989634;0.5692644;0.5468106;0.5693018;0.586065663;0.604253505;0.616978955;0.633898205;0.651335062;0.660740617;0.662437564;thous km2
CO2B_W;USA;MiscCrop;RFD;1.9604892;1.0151564;0.974887;0.9989222;1.024258071;1.056018661;1.081588804;1.098446472;1.116589286;1.120407936;1.144201626;thous km2
CO2B_W;USA;MiscCropTree;IRR;0.002309;0.001622;0.0027528;0.0029;0.00303675;0.002957;0.00312008;0.00298968;0.00318838;0.00367243;0.00366889;thous km2
CO2B_W;USA;MiscCropTree;RFD;0.339044;0.2549288;0.415936;0.444308;0.464934311;0.455295474;0.481318128;0.464543139;0.49428241;0.564807939;0.567636127;thous km2
CO2B_W;USA;NutsSeeds;IRR;2.1778716;1.6727184;1.6239758;1.6267048;1.721644098;1.815246011;1.870702855;1.893544724;1.91169973;1.878984607;1.911079919;thous km2
CO2B_W;USA;NutsSeeds;RFD;4.9237332;3.781673;3.6714906;3.6773104;3.868773563;4.046094232;4.13512083;4.130117295;4.138469931;4.049085558;4.120469551;thous km2
CO2B_W;USA;NutsSeedsTree;IRR;2.987541;3.8287632;4.7246878;5.7727076;6.083634256;6.374259554;6.557337187;6.691574585;6.750161715;6.584886027;6.077001066;thous km2
CO2B_W;USA;NutsSeedsTree;RFD;0.3285002;0.4145362;0.5040522;0.6028596;0.634149403;0.668018406;0.689717618;0.686349904;0.685333175;0.65747563;0.670505802;thous km2
CO2B_W;USA;OilCrop;IRR;0.6605;1.0005648;0.914345;0.911226;0.971048389;1.012683836;0.985290015;0.896796101;0.787738404;0.569848443;0.275705271;thous km2
CO2B_W;USA;OilCrop;RFD;10.0515982;15.079094;13.7754758;13.724285;14.06268336;14.31340935;14.14414643;13.60962794;13.60653696;13.27229445;13.29043006;thous km2
CO2B_W;USA;OilCropTree;IRR;0.1262532;0.131599;0.1484776;0.1531124;0.170676259;0.186987956;0.199578048;0.198625277;0.198234692;0.189203951;0.150738059;thous km2
CO2B_W;USA;OilCropTree;RFD;0.0070168;0.002487;0.0015384;0.0013708;0.001410031;0.00133992;0.001251246;0.001054399;0.001010985;9.68E-04;9.39E-04;thous km2
CO2B_W;USA;OtherArableLand;NA;673.0483168;494.8441885;448.3973062;393.0021309;384.7292319;374.0137242;364.1809627;340.8639708;325.2593293;305.8061431;299.5798994;thous km2
CO2B_W;USA;OtherGrain;IRR;10.1452566;4.4139236;3.4262266;3.2939226;3.186401599;3.07265251;2.8844119;2.66173948;2.461331557;2.092666794;1.481850826;thous km2
CO2B_W;USA;OtherGrain;RFD;46.1288456;19.3418688;14.9570904;14.3179194;14.10563454;13.93533826;13.6072485;13.38673831;13.52606824;13.36079971;13.25316366;thous km2
CO2B_W;USA;OtherGrainC4;IRR;3.880492;2.5868038;2.1108092;2.7760602;2.781433408;2.793770859;2.710495822;2.443319737;2.160758756;1.701864419;0.860813119;thous km2
CO2B_W;USA;OtherGrainC4;RFD;38.5988474;25.3072486;20.6238562;27.1457016;27.95522939;28.97788771;29.4636757;30.00606496;31.20628785;32.03752632;32.59304081;thous km2
CO2B_W;USA;Pasture;NA;50.1514752;9.0040674;23.1380898;32.9225761;34.73449301;36.75128029;38.56619324;39.89321328;41.37924362;42.08993944;43.12486948;thous km2
CO2B_W;USA;ProtectedGrassland;NA;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;521.76178;thous km2
CO2B_W;USA;ProtectedShrubland;NA;676.80161;693.0834;696.19715;700.02904;700.02904;700.02904;700.02904;700.02904;700.02904;700.02904;700.02904;thous km2
CO2B_W;USA;ProtectedUnmanagedForest;NA;346.6319185;360.3320671;383.6140088;377.7510135;377.7510135;377.7510135;377.7510135;377.7510135;377.7510135;377.7510135;377.7510135;thous km2
CO2B_W;USA;ProtectedUnmanagedPasture;NA;489.0900774;507.82198;516.8521471;520.7134071;520.7134071;520.7134071;520.7134071;520.7134071;520.7134071;520.7134071;520.7134071;thous km2
CO2B_W;USA;Rice;IRR;11.2459554;11.9785432;11.7710186;10.1493336;10.34907846;10.41505497;9.768792559;8.344786415;7.071651998;5.428612138;4.01363781;thous km2
CO2B_W;USA;Rice;RFD;0.3469954;0.3683634;0.361982;0.313989;0.334891559;0.356507237;0.373141087;0.412071568;0.469927823;0.552722568;0.658483;thous km2
CO2B_W;USA;RockIceDesert;NA;145.74387;145.27719;145.42728;145.57089;145.57089;145.57089;145.57089;145.57089;145.57089;145.57089;145.57089;thous km2
