scenario;region;sector;subsector;technology;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;basin_id;sector_name;subRegion
CO2B;CA;water_td_pri_W;California;California;0.335376;0.463172;0.273927;0.41826;0.419769;0.412764;0.373924;0.280749;0.211489;0.121321;0.0470854;km^3;217;Mining;California_River
CO2B;CA;water_td_pri_W;California;desalination;0;0;1.11E-10;1.04E-09;1.43E-08;1.61E-07;1.13E-06;7.13E-06;3.43E-05;1.09E-04;2.97E-04;km^3;217;Mining;California_River
CO2B;CA;water_td_pri_W;GreatBasin;GreatBasin;0.00220063;0.00303919;0.00179742;0.00274449;0.00275439;0.00270843;0.00245358;0.00184223;0.00138795;7.97E-04;3.11E-04;km^3;222;Mining;Great
CO2B;CA;water_td_pri_W;UsaColoRS;UsaColoRS;0.0165811;0.0228994;0.013543;0.0206789;0.0207535;0.0204072;0.018487;0.0138807;0.0104578;0.00600356;0.00234262;km^3;221;Mining;Lower_Colorado_River
CO2B;CA;water_td_pri_W;UsaColoRS;desalination;0;0;0;0;0;0;0;0;1.73E-10;3.84E-10;5.08E-10;km^3;221;Mining;Lower_Colorado_River
CO2B;CA;water_td_pri_W;UsaPacNW;UsaPacNW;3.67E-04;5.06E-04;2.99E-04;4.57E-04;4.59E-04;4.51E-04;4.09E-04;3.07E-04;2.31E-04;1.33E-04;5.18E-05;km^3;229;Mining;Pacific_Northwest
CO2B;CO;water_td_an_W;ArkWhtRedR;ArkWhtRedR;0.0242775;0.0067532;0.00857911;0.00773425;0.00820821;0.0087211;0.00914947;0.00969967;0.00995978;0.0105083;0.0111188;km^3;224;Livestock;Arkansas_White_Red
CO2B;CO;water_td_an_W;MissouriR;MissouriR;0.080171;0.0223009;0.0283306;0.0255406;0.0271058;0.0287995;0.0302141;0.032031;0.0328899;0.0347014;0.0367173;km^3;223;Livestock;Missouri_River
CO2B;CO;water_td_an_W;RioGrande;RioGrande;0.00694618;0.0019322;0.00245462;0.00221289;0.0023485;0.00249524;0.00261781;0.00277523;0.00284965;0.0030066;0.00318126;km^3;231;Livestock;Rio_Grande_River
CO2B;CO;water_td_an_W;UsaColoRN;UsaColoRN;0.0225252;0.00626576;0.00795987;0.007176;0.00761575;0.00809161;0.00848906;0.00899954;0.00924089;0.00974983;0.0103162;km^3;220;Livestock;Upper_Colorado_River
CO2B;CO;water_td_elec_W;ArkWhtRedR;ArkWhtRedR;0.0619336;0.0745966;0.0737392;0.0663927;0.0577027;0.0575624;0.0309063;0.0140257;0.00969286;0.00999535;0.014586;km^3;224;Electricity;Arkansas_White_Red
CO2B;CO;water_td_elec_W;MissouriR;MissouriR;0.233835;0.281645;0.278408;0.250671;0.217861;0.217331;0.116689;0.0529551;0.0365961;0.0377382;0.0550707;km^3;223;Electricity;Missouri_River
CO2B;CO;water_td_elec_W;RioGrande;RioGrande;0.00391455;0.00471492;0.00466073;0.00419639;0.00364713;0.00363826;0.00195345;8.87E-04;6.13E-04;6.32E-04;9.22E-04;km^3;231;Electricity;Rio_Grande_River
CO2B;CO;water_td_elec_W;UsaColoRN;UsaColoRN;0.0382751;0.0461009;0.045571;0.0410309;0.0356604;0.0355737;0.0191002;0.00866792;0.00599021;0.00617715;0.00901421;km^3;220;Electricity;Upper_Colorado_River
CO2B;CO;water_td_ind_W;ArkWhtRedR;ArkWhtRedR;0.0298053;0.0360794;0.0329867;0.0212971;0.0236284;0.0263173;0.0278537;0.0292332;0.0307734;0.0322909;0.0345102;km^3;224;Manufacturing;Arkansas_White_Red
CO2B;CO;water_td_ind_W;MissouriR;MissouriR;0.112398;0.136058;0.124395;0.0803127;0.0891043;0.0992441;0.105038;0.11024;0.116048;0.121771;0.13014;km^3;223;Manufacturing;Missouri_River
CO2B;CO;water_td_ind_W;RioGrande;RioGrande;0.00188174;0.00227786;0.0020826;0.00134458;0.00149177;0.00166153;0.00175853;0.00184562;0.00194286;0.00203867;0.00217878;km^3;231;Manufacturing;Rio_Grande_River
CO2B;CO;water_td_ind_W;UsaColoRN;UsaColoRN;0.0184794;0.0223694;0.0204519;0.0132043;0.0146497;0.0163168;0.0172694;0.0181247;0.0190796;0.0200205;0.0213964;km^3;220;Manufacturing;Upper_Colorado_River
CO2B;CO;water_td_irr_ArkWhtRedR_W;ArkWhtRedR;ArkWhtRedR;2.72834;3.90529;3.64243;3.9576;4.19658;4.36754;4.46107;5.22235;5.71211;6.43826;6.77604;km^3;224;Irrigation;Arkansas_White_Red
CO2B;CO;water_td_irr_MissouriR_W;MissouriR;MissouriR;4.63677;6.83675;7.20876;8.1299;8.63379;8.8993;9.08558;10.8152;11.882;13.3838;14.178;km^3;223;Irrigation;Missouri_River
CO2B;CO;water_td_irr_RioGrande_W;RioGrande;RioGrande;0.530491;0.592292;0.516695;0.539706;0.569868;0.698287;0.802546;1.12898;1.29732;1.44922;1.59157;km^3;231;Irrigation;Rio_Grande_River
CO2B;CO;water_td_irr_UsaColoRN_W;UsaColoRN;UsaColoRN;0.136456;0.170762;0.169135;0.174502;0.185674;0.215681;0.221937;0.28408;0.3045;0.300708;0.329968;km^3;220;Irrigation;Upper_Colorado_River
CO2B;CO;water_td_muni_W;ArkWhtRedR;ArkWhtRedR;0.169522;0.227665;0.224336;0.22278;0.23999;0.255996;0.269291;0.27868;0.287314;0.294119;0.300498;km^3;224;Municipal;Arkansas_White_Red
CO2B;CO;water_td_muni_W;MissouriR;MissouriR;0.639065;0.85825;0.8457;0.839836;0.904712;0.965054;1.01517;1.05057;1.08311;1.10877;1.13282;km^3;223;Municipal;Missouri_River
CO2B;CO;water_td_muni_W;RioGrande;RioGrande;0.0107088;0.0143817;0.0141714;0.0140731;0.0151603;0.0161714;0.0170113;0.0176044;0.0181498;0.0185797;0.0189827;km^3;231;Municipal;Rio_Grande_River
CO2B;CO;water_td_muni_W;UsaColoRN;UsaColoRN;0.105096;0.141142;0.139078;0.138114;0.148783;0.158706;0.166948;0.172769;0.178122;0.182341;0.186295;km^3;220;Municipal;Upper_Colorado_River
CO2B;CO;water_td_pri_W;ArkWhtRedR;ArkWhtRedR;0.016503;0.00624518;0.00544627;0.00813913;0.0081685;0.00803219;0.00727641;0.00546337;0.00411614;0.00236298;9.22E-04;km^3;224;Mining;Arkansas_White_Red
CO2B;CO;water_td_pri_W;MissouriR;MissouriR;0.0621753;0.0235288;0.0205189;0.0306643;0.0307749;0.0302614;0.0274139;0.0205833;0.0155076;0.00890254;0.00347381;km^3;223;Mining;Missouri_River
CO2B;CO;water_td_pri_W;RioGrande;RioGrande;0.00104595;3.96E-04;3.45E-04;5.16E-04;5.18E-04;5.09E-04;4.61E-04;3.46E-04;2.61E-04;1.50E-04;5.84E-05;km^3;231;Mining;Rio_Grande_River
CO2B;CO;water_td_pri_W;UsaColoRN;UsaColoRN;0.0102349;0.00387314;0.00337767;0.00504773;0.00506595;0.00498141;0.00451268;0.00338828;0.00255275;0.00146547;5.72E-04;km^3;220;Mining;Upper_Colorado_River
CO2B;CT;water_td_an_W;UsaCstE;UsaCstE;1.48E-05;1.89E-05;1.74E-05;1.98E-05;2.10E-05;2.23E-05;2.34E-05;2.48E-05;2.55E-05;2.69E-05;2.85E-05;km^3;233;Livestock;Mid_Atlantic
CO2B;CT;water_td_an_W;UsaCstNE;UsaCstNE;0.00108399;0.00138959;0.00127897;0.00145534;0.00154453;0.00164103;0.00172164;0.00182517;0.00187411;0.00197733;0.0020922;km^3;232;Livestock;New_England
CO2B;CT;water_td_elec_W;UsaCstE;UsaCstE;0.0939222;0.060707;0.0296543;0.0100994;0.00340684;0.00181301;0.00190676;0.0020071;0.00209738;0.00273525;0.00445507;km^3;233;Electricity;Mid_Atlantic
CO2B;CT;water_td_elec_W;UsaCstE;desalination;0;1.44E-07;1.06E-08;0;0;0;0;0;0;0;0;km^3;233;Electricity;Mid_Atlantic
CO2B;CT;water_td_elec_W;UsaCstNE;UsaCstNE;0.522714;0.337859;0.165038;0.0562072;0.0189604;0.0100901;0.0106119;0.0111703;0.0116727;0.0152227;0.0247942;km^3;232;Electricity;New_England
CO2B;CT;water_td_ind_W;UsaCstE;UsaCstE;0.00408961;0.00344814;0.0033915;0.00922126;0.00923308;0.00971276;0.0102858;0.0109053;0.0115743;0.0121874;0.0130203;km^3;233;Manufacturing;Mid_Atlantic
CO2B;CT;water_td_ind_W;UsaCstE;desalination;0;8.19E-09;1.22E-09;0;0;0;0;0;0;0;0;km^3;233;Manufacturing;Mid_Atlantic
CO2B;CT;water_td_ind_W;UsaCstNE;UsaCstNE;0.106626;0.0899015;0.0884246;0.24042;0.240729;0.253235;0.268174;0.284327;0.301771;0.317753;0.33947;km^3;232;Manufacturing;New_England
CO2B;CT;water_td_irr_UsaCstE_W;UsaCstE;UsaCstE;1.72E-04;1.87E-04;1.54E-04;1.61E-04;1.67E-04;1.73E-04;1.73E-04;1.89E-04;1.98E-04;2.05E-04;2.13E-04;km^3;233;Irrigation;Mid_Atlantic
CO2B;CT;water_td_irr_UsaCstNE_W;UsaCstNE;UsaCstNE;0.0209446;0.018436;0.0171553;0.0168933;0.0174886;0.0222433;0.0257721;0.0371096;0.0414226;0.044623;0.0487933;km^3;232;Irrigation;New_England
CO2B;CT;water_td_muni_W;UsaCstE;UsaCstE;0.0267381;0.0345743;0.031333;0.017229;0.0169247;0.0171766;0.0178381;0.018526;0.0192995;0.0200179;0.0207127;km^3;233;Municipal;Mid_Atlantic
CO2B;CT;water_td_muni_W;UsaCstE;desalination;0;8.21E-08;1.12E-08;0;0;0;0;0;0;0;0;km^3;233;Municipal;Mid_Atlantic
CO2B;CT;water_td_muni_W;UsaCstNE;UsaCstNE;0.553779;0.716077;0.648944;0.356833;0.35053;0.355747;0.369449;0.383695;0.399716;0.414595;0.428984;km^3;232;Municipal;New_England
CO2B;CT;water_td_pri_W;UsaCstE;UsaCstE;1.65E-04;3.76E-04;3.49E-04;4.11E-04;4.13E-04;4.06E-04;3.68E-04;2.76E-04;2.08E-04;1.19E-04;4.66E-05;km^3;233;Mining;Mid_Atlantic
CO2B;CT;water_td_pri_W;UsaCstE;desalination;0;8.93E-10;1.25E-10;0;0;0;0;0;0;0;0;km^3;233;Mining;Mid_Atlantic
