scenario;region;subsector;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;technology;CCS;technology_code;grid
CO2B;AL;PV_base_storage;0;0;0;0;1.50E-04;2.07E-04;4.42E-04;9.10E-04;0.001383022;0.002099577;0.0028742;EJ;solar;no CCS;h solar;Southeast
CO2B;AL;PV_int;0.00E+00;0.00E+00;0.00E+00;0;0.0105997;0.0224016;0.0621667;0.1140068;0.1608163;0.2444725;0.3256707;EJ;solar;no CCS;h solar;Southeast
CO2B;AL;PV_peak;0;0;0;0;5.96E-04;0.001077924;0.002114594;0.00300944;0.003842539;0.005198499;0.006846806;EJ;solar;no CCS;h solar;Southeast
CO2B;AL;PV_subpeak;0;0;0;0;0.00335253;0.00648099;0.01322178;0.01937915;0.0252382;0.0367708;0.04880317;EJ;solar;no CCS;h solar;Southeast
CO2B;AL;biomass_base_IGCC;0;0;0;0;9.74E-05;1.39E-04;3.21E-04;4.77E-04;2.11E-04;8.53E-05;6.20E-05;EJ;biomass;no CCS;d biomass;Southeast
CO2B;AL;biomass_base_IGCC_CCS;0;0;0;0.00E+00;0;0;2.24E-04;0.001600748;0.003810733;0.007770424;0.015078774;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;AL;biomass_base_conv;0.003252212;4.65E-04;6.39E-04;5.40E-04;2.62E-04;3.15E-04;8.30E-04;5.86E-04;1.89E-04;6.42E-05;4.31E-05;EJ;biomass;no CCS;d biomass;Southeast
CO2B;AL;biomass_base_conv_CCS;0;0;0;0;0.00E+00;0.00E+00;4.26E-04;4.06E-03;0.00963172;0.017910711;0.033429811;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;AL;biomass_int_IGCC;0;0;0;0;2.46E-05;4.32E-05;7.40E-05;1.29E-04;1.23E-04;1.24E-04;1.16E-04;EJ;biomass;no CCS;d biomass;Southeast
CO2B;AL;biomass_int_IGCC_CCS;0;0;0.00E+00;0;0.00E+00;0.00E+00;1.98E-05;9.19E-05;2.37E-04;8.20E-04;0.001906337;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;AL;biomass_int_conv;0.003252189;4.65E-04;6.39E-04;5.40E-04;2.99E-04;3.87E-04;5.04E-04;3.63E-04;1.69E-04;1.30E-04;1.07E-04;EJ;biomass;no CCS;d biomass;Southeast
CO2B;AL;biomass_int_conv_CCS;0;0;0;0;0;0;3.72E-05;1.84E-04;4.71E-04;0.001549053;0.003536013;EJ;biomass;w/ CCS;d biomass;Southeast
CO2B;AL;coal_base_IGCC_CCS;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0;0;0.002219486;0.006216241;0.009709564;0.012228531;0.01297533;EJ;coal;w/ CCS;c coal;Southeast
CO2B;AL;coal_base_conv pul;0.068483729;0.122123714;0.104814299;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_base_conv pul 1956-1960;0;0;0.00E+00;0.003728175;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_base_conv pul 1966-1970;0;0;0;0.002807919;0.002796461;0.002779096;0.001248876;8.90E-05;5.26E-06;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_base_conv pul 1971-1975;0;0;0;0.033543119;0.033356026;0.032977603;0.014495089;9.52E-04;4.65E-05;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_base_conv pul 1976-1980;0;0;0;0.017099455;0.017004051;0.016811214;0.007389239;4.85E-04;2.37E-05;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_base_conv pul 1981-1985;0;0;0;1.22E-02;0.012171048;0.012172353;0.005624751;4.50E-04;3.96E-05;1.43E-06;2.01E-07;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_base_conv pul 1986-1990;0;0;0;0.018090303;0.018049494;1.81E-02;8.34E-03;6.68E-04;5.89E-05;2.14E-06;3.10E-07;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_base_conv pul 1991-1995;0.00E+00;0.00E+00;0.00E+00;1.79E-02;1.79E-02;1.79E-02;8.25E-03;6.61E-04;5.83E-05;2.12E-06;3.11E-07;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_base_conv pul_CCS;0.00E+00;0.00E+00;0.00E+00;0;0;0;0.002423331;0.006502173;0.009779688;0.011227071;0.010604998;EJ;coal;w/ CCS;c coal;Southeast
CO2B;AL;coal_base_conv pul_retire_2020;2.07E-02;3.69E-02;3.16E-02;3.18E-02;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_int_IGCC_CCS;0;0;0;0;0;0;2.38E-04;8.17E-04;0.001685378;0.003893307;0.006597207;EJ;coal;w/ CCS;c coal;Southeast
CO2B;AL;coal_int_conv pul;0.079119731;0.10539529;0.080571054;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_int_conv pul 1956-1960;0;0;0;5.50E-04;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_int_conv pul 1966-1970;0;0;0;4.14E-04;4.13E-04;4.11E-04;2.21E-04;4.76E-05;6.97E-06;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_int_conv pul 1971-1975;0;0;0;0.004948929;0.004930671;4.87E-03;2.57E-03;5.09E-04;6.17E-05;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_int_conv pul 1976-1980;0;0;0;0.002522847;0.002513537;0.002484633;0.00130982;2.59E-04;3.14E-05;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_int_conv pul 1981-1985;0;0;0;0.001799771;0.00179912;0.001799034;9.97E-04;2.41E-04;5.25E-05;3.75E-06;7.52E-07;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_int_conv pul 1986-1990;0.00E+00;0.00E+00;0.00E+00;2.67E-03;0.00266807;0.002667989;0.001478744;3.57E-04;7.80E-05;5.62E-06;1.16E-06;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_int_conv pul 1991-1995;0;0;0;0.002640963;0.002640019;0.002639939;0.001463239;3.53E-04;7.73E-05;5.57E-06;1.16E-06;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_int_conv pul_CCS;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0.00E+00;2.77E-04;9.08E-04;1.80E-03;3.94E-03;6.42E-03;EJ;coal;w/ CCS;c coal;Southeast
CO2B;AL;coal_int_conv pul_retire_2020;0.023877547;3.18E-02;0.024315514;0.004691586;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_peak_conv pul;6.23E-04;0;0.00E+00;0.00E+00;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_peak_conv pul_retire_2020;1.88E-04;0;0;0;0;0.00E+00;0.00E+00;0.00E+00;0.00E+00;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_subpeak_conv pul;0.0046319;0;0;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;coal_subpeak_conv pul_retire_2020;0.001397862;0;0;0;0;0;0;0;0;0;0;EJ;coal;no CCS;c coal;Southeast
CO2B;AL;gas_base_CC;0;0;0.01939;8.77E-03;0.03419972;0.04969841;0.05934788;0.0531246;0.027889775;0.005529706;0.002501597;EJ;gas;no CCS;b natural gas;Southeast
CO2B;AL;gas_base_CC_CCS;0;0;0;0;0;0;0.00992886;0.02805294;0.04719958;0.07258685;0.09975611;EJ;gas;w/ CCS;b natural gas;Southeast
CO2B;AL;gas_int_CC;1.14E-03;3.01E-02;8.71E-02;1.61E-01;1.60E-01;1.60E-01;1.38E-01;1.18E-01;9.26E-02;4.07E-02;1.83E-02;EJ;gas;no CCS;b natural gas;Southeast
CO2B;AL;gas_int_CC_CCS;0;0;0;0;0;0;0.00275134;0.00878569;0.01779892;0.04247362;0.07483676;EJ;gas;w/ CCS;b natural gas;Southeast
CO2B;AL;gas_peak_CC;4.48E-05;1.52E-03;5.89E-04;1.81E-03;0.001542253;0.001404179;0.001086902;7.97E-04;4.96E-04;1.15E-04;3.43E-05;EJ;gas;no CCS;b natural gas;Southeast
CO2B;AL;gas_peak_CC_CCS;0;0;0;0;0;0.00E+00;2.53E-07;6.64E-07;1.32E-06;3.02E-06;6.30E-06;EJ;gas;w/ CCS;b natural gas;Southeast
CO2B;AL;gas_peak_steam/CT;3.32E-05;5.34E-04;4.57E-04;9.58E-04;7.69E-04;6.66E-04;2.31E-04;1.18E-04;5.16E-05;1.01E-05;6.77E-06;EJ;gas;no CCS;b natural gas;Southeast
CO2B;AL;gas_subpeak_CC;2.98E-04;0.0100973;0.0120264;0.0122314;0.01065466;0.009841901;0.007946506;0.006157163;0.004190943;0.001278386;4.97E-04;EJ;gas;no CCS;b natural gas;Southeast
CO2B;AL;gas_subpeak_CC_CCS;0;0;0;0;0;0;1.47E-05;3.94E-05;7.90E-05;1.96E-04;3.80E-04;EJ;gas;w/ CCS;b natural gas;Southeast
CO2B;AL;gas_subpeak_steam/CT;2.21E-04;0.003551715;0.009321307;0.006464519;0.005523548;0.004914815;0.001984589;0.001118042;5.50E-04;1.65E-04;1.09E-04;EJ;gas;no CCS;b natural gas;Southeast
CO2B;AL;hydro_base;0.0351811;0.0372598;0.0317975;0.0359873;0.0420223;0.0419578;0.0419121;0.0419182;0.0418244;0.0414736;0.0415197;EJ;hydro;no CCS;f hydro;Southeast
CO2B;AL;nuc_base_Gen II;0.045993;0.1182933;0.1419954;0.157293;0.1570381;0.155411;0.144217;0.0936574;0.02582037;0;0;EJ;nuclear;no CCS;e nuclear;Southeast
CO2B;AL;nuc_base_Gen III;0;0;0;0;0;0;0.0123153;0.0369669;0.0621299;0.1006815;0.1510237;EJ;nuclear;no CCS;e nuclear;Southeast
CO2B;AL;refined liquids_base_steam/CT;0;0;0;2.88E-04;3.47E-05;2.79E-05;4.29E-05;2.80E-05;8.62E-06;8.54E-07;1.49E-07;EJ;refined liquids;no CCS;refined liquids;Southeast
CO2B;AL;refined liquids_int_steam/CT;2.16E-04;4.72E-04;0;0;0;0;0;0;0;0;0;EJ;refined liquids;no CCS;refined liquids;Southeast
CO2B;AL;refined liquids_peak_steam/CT;0;0;2.42E-04;0.00E+00;0;0;0;0;0;0;0;EJ;refined liquids;no CCS;refined liquids;Southeast
CO2B;AL;refined liquids_subpeak_steam/CT;5.40E-05;1.18E-04;2.42E-04;0;0;0;0;0;0;0;0;EJ;refined liquids;no CCS;refined liquids;Southeast
CO2B;AL;rooftop_pv;0;0;0;0;2.27E-04;6.82E-04;0.003493;0.00448619;0.00655503;0.00858577;0.00901543;EJ;rooftop_pv;no CCS;h solar;Southeast
