scenario;region;sector;subsector;output;technology;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;basin;region_id;subRegion;basin_name
CO2B;USA;Corn;CornC4_MissppRS;Corn;CornC4_MissppRS_IRR_lo;0.660427;0.997097;1.06814;1.21733;1.25742;1.24945;1.21518;1.27946;1.2748;1.17952;1.18562;Mt;MissppRS;219;Lower_Mississippi_River;Lower Mississippi River
CO2B;USA;Corn;CornC4_MissppRS;Corn;CornC4_MissppRS_RFD_hi;1.83744;2.77412;2.97177;3.38685;3.71903;3.82807;3.86082;4.81741;5.3486;5.76557;6.23246;Mt;MissppRS;219;Lower_Mississippi_River;Lower Mississippi River
CO2B;USA;Corn;CornC4_MissppRS;Corn;CornC4_MissppRS_RFD_lo;1.22496;1.84942;1.98118;2.2579;2.36854;2.38832;2.35625;2.48773;2.48521;2.30045;2.3144;Mt;MissppRS;219;Lower_Mississippi_River;Lower Mississippi River
CO2B;USA;Corn;CornC4_NelsonR;Corn;CornC4_NelsonR_IRR_hi;0.0964777;0.14566;0.156038;0.177832;0.19068;0.189679;0.188065;0.229932;0.251744;0.275209;0.294981;Mt;NelsonR;23;Saskatchewan_Nelson;Saskatchewan - Nelson
CO2B;USA;Corn;CornC4_NelsonR;Corn;CornC4_NelsonR_IRR_lo;0.0643185;0.0971064;0.104025;0.118554;0.122711;0.120826;0.118402;0.123827;0.123112;0.117001;0.117743;Mt;NelsonR;23;Saskatchewan_Nelson;Saskatchewan - Nelson
CO2B;USA;Corn;CornC4_NelsonR;Corn;CornC4_NelsonR_RFD_hi;1.31203;1.98087;2.12201;2.41839;2.66103;2.71393;2.75832;3.41948;3.78899;4.19646;4.54142;Mt;NelsonR;23;Saskatchewan_Nelson;Saskatchewan - Nelson
CO2B;USA;Corn;CornC4_NelsonR;Corn;CornC4_NelsonR_RFD_lo;0.874688;1.32058;1.41467;1.61226;1.69472;1.69321;1.68342;1.76584;1.76054;1.67437;1.68643;Mt;NelsonR;23;Saskatchewan_Nelson;Saskatchewan - Nelson
CO2B;USA;Corn;CornC4_OhioR;Corn;CornC4_OhioR_IRR_hi;0.240096;0.362492;0.388318;0.442555;0.473743;0.478342;0.479018;0.585733;0.645487;0.699067;0.742293;Mt;OhioR;228;Ohio_River;Ohio River
CO2B;USA;Corn;CornC4_OhioR;Corn;CornC4_OhioR_IRR_lo;0.160064;0.241661;0.258879;0.295037;0.304874;0.304703;0.301569;0.315427;0.31566;0.297192;0.296283;Mt;OhioR;228;Ohio_River;Ohio River
CO2B;USA;Corn;CornC4_OhioR;Corn;CornC4_OhioR_RFD_hi;13.5015;20.3842;21.8365;24.8864;27.3377;28.3004;29.0475;36.0115;40.1601;44.0559;47.2335;Mt;OhioR;228;Ohio_River;Ohio River
CO2B;USA;Corn;CornC4_OhioR;Corn;CornC4_OhioR_RFD_lo;9.00097;13.5895;14.5577;16.591;17.4105;17.6565;17.7274;18.5964;18.6603;17.5783;17.5401;Mt;OhioR;228;Ohio_River;Ohio River
CO2B;USA;Corn;CornC4_RioGrande;Corn;CornC4_RioGrande_IRR_hi;0.0300041;0.0452995;0.048527;0.0553048;0.0597071;0.0601448;0.0602424;0.0799203;0.0917697;0.110096;0.118976;Mt;RioGrande;231;Rio_Grande_River;Rio Grande River
CO2B;USA;Corn;CornC4_RioGrande;Corn;CornC4_RioGrande_IRR_lo;0.0200028;0.0301997;0.0323513;0.0368699;0.0387497;0.039068;0.0391546;0.0448884;0.0475945;0.0506452;0.0524108;Mt;RioGrande;231;Rio_Grande_River;Rio Grande River
CO2B;USA;Corn;CornC4_RioGrande;Corn;CornC4_RioGrande_RFD_hi;0.0027143;0.004098;0.00439;0.0050032;0.00560639;0.0058766;0.00613338;0.00831855;0.00982122;0.0121199;0.013456;Mt;RioGrande;231;Rio_Grande_River;Rio Grande River
CO2B;USA;Corn;CornC4_RioGrande;Corn;CornC4_RioGrande_RFD_lo;0.0018096;0.002732;0.0029267;0.0033355;0.00357042;0.00366627;0.00374193;0.00429207;0.00455844;0.0048281;0.00498749;Mt;RioGrande;231;Rio_Grande_River;Rio Grande River
CO2B;USA;Corn;CornC4_TennR;Corn;CornC4_TennR_IRR_hi;0.0088221;0.0133194;0.0142684;0.0162613;0.017699;0.018015;0.01816;0.0235257;0.0269854;0.0318096;0.0343529;Mt;TennR;230;Tennessee_River;Tennessee River
CO2B;USA;Corn;CornC4_TennR;Corn;CornC4_TennR_IRR_lo;0.0058814;0.0088796;0.0095122;0.0108408;0.0113897;0.011475;0.0114305;0.0126668;0.0131949;0.0135217;0.0137101;Mt;TennR;230;Tennessee_River;Tennessee River
CO2B;USA;Corn;CornC4_TennR;Corn;CornC4_TennR_RFD_hi;0.36739;0.554676;0.594195;0.677188;0.756315;0.789267;0.815611;1.07139;1.24386;1.48573;1.61999;Mt;TennR;230;Tennessee_River;Tennessee River
CO2B;USA;Corn;CornC4_TennR;Corn;CornC4_TennR_RFD_lo;0.244927;0.369784;0.39613;0.451459;0.481681;0.492423;0.497703;0.55324;0.577965;0.592843;0.601613;Mt;TennR;230;Tennessee_River;Tennessee River
CO2B;USA;Corn;CornC4_TexasCst;Corn;CornC4_TexasCst_IRR_hi;0.459804;0.694201;0.743661;0.847529;0.932476;0.952456;0.981649;1.30256;1.50564;1.77533;1.96406;Mt;TexasCst;225;Texas_Gulf_Coast;Texas Gulf Coast
