scenario;region;fuel;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units
CO2B;HI;nuclear;0;0;0;0;0;7.51489E-06;0.000129406;0.000250197;0.000616379;0.001885728;0.00431754;EJ
CO2B;HI;hydro;0.0000773;0.0002288;0.0001045;0.0002287;0.0002671;0.0002666;0.0002664;0.0002664;0.0002658;0.0002636;0.0002639;EJ
CO2B;HI;wind;0.000114203;2.39006E-05;0.000944911;0.00223408;0.006191674;0.006682991;0.007595527;0.009547705;0.012648667;0.01602227;0.02033774;EJ
CO2B;HI;solar;3.00006E-07;3.00012E-07;1.63005E-05;0.000258703;0.005614763;0.007429617;0.012961625;0.018432679;0.024751846;0.031775819;0.038897809;EJ
CO2B;IA;nuclear;0.0114923;0.0169386;0.0166566;0.0196598;0.0196596;0.01967121;0.026201571;0.015756688;0.021881392;0.03796345;0.052239991;EJ
CO2B;IA;hydro;0.0029699;0.0035241;0.0034636;0.0035039;0.0040915;0.0040852;0.0040808;0.0040814;0.0040722;0.0040381;0.0040426;EJ
CO2B;IA;wind;0;0.005953253;0.03319144;0.0651556;0.069624664;0.07705424;0.106613905;0.134162573;0.151906984;0.142590732;0.181897608;EJ
CO2B;IA;solar;0;0;0;0;0.003049006;0.006827111;0.020434778;0.032890556;0.04462744;0.074084048;0.093096309;EJ
CO2B;ID;nuclear;0;0;0;0;0;9.71944E-06;7.56556E-05;0.000174788;0.000366416;0.001023809;0.001924367;EJ
CO2B;ID;hydro;0.03093388;0.0313742;0.0334413;0.0319544;0.0373131;0.0372558;0.0372152;0.0372207;0.0371373;0.0368259;0.0368669;EJ
CO2B;ID;wind;0;0;0.0015953;0.00827727;0.00945548;0.01180914;0.01758833;0.022768709;0.027829635;0.031541392;0.042175586;EJ
CO2B;ID;solar;0.000072001;6.47008E-05;9.53994E-05;0.000384794;0.001386396;0.002145593;0.003666041;0.005210084;0.006905069;0.009472512;0.011592357;EJ
CO2B;IL;nuclear;0.2743289;0.3480864;0.3599954;0.3647552;0.3162069;0.286961802;0.284905901;0.280722041;0.279946413;0.328737199;0.381711461;EJ
CO2B;IL;hydro;0.0004884;0.0004738;0.0004332;0.0004488;0.0005241;0.0005233;0.0005227;0.0005228;0.0005216;0.0005172;0.0005178;EJ
CO2B;IL;wind;0;0.00051;0.01611975;0.0391672;0.18485759;0.239164254;0.366517806;0.475096968;0.580544483;0.715021686;0.862987685;EJ
CO2B;IL;solar;0;0;0.000129399;0.000233195;0.044919007;0.057095074;0.09543852;0.144983462;0.199442443;0.287581203;0.363409193;EJ
CO2B;IN;nuclear;0;0;0;0;0;1.95897E-05;0.000194027;0.00052948;0.000998106;0.002565701;0.005141001;EJ
CO2B;IN;hydro;0.0014969;0.0016096;0.0016573;0.0013913;0.0016246;0.0016221;0.0016204;0.0016206;0.001617;0.0016034;0.0016052;EJ
CO2B;IN;wind;0;0;0.01061184;0.01645913;0.03766078;0.052516074;0.140134157;0.206150094;0.262746757;0.346212558;0.440385201;EJ
CO2B;IN;solar;0;0;0;0.000737573;0.016187438;0.025731741;0.053674099;0.085073242;0.117666764;0.175349693;0.224475873;EJ
CO2B;KS;nuclear;0.0299991;0.0325891;0.0357618;0.0323574;0.032357;0.032364619;0.041455666;0.051406569;0.058490968;0.048947184;0.071122913;EJ
CO2B;KS;hydro;0.000045;0.0000415;0.0000483;0.0000693;0.0000809;0.0000808;0.0000807;0.0000807;0.0000805;0.0000799;0.00008;EJ
CO2B;KS;wind;0;0.001523835;0.0123242;0.04010098;0.043958561;0.049813657;0.085523945;0.11573701;0.136305549;0.171025702;0.232251891;EJ
CO2B;KS;solar;0.00016364;0.000145861;0.000217292;0.000884568;0.001271391;0.00254606;0.009151152;0.014247929;0.019647774;0.034059372;0.044805423;EJ
CO2B;KY;nuclear;0;0;0;0;0;1.85676E-05;0.000178065;0.000463378;0.000976966;0.003162983;0.007110559;EJ
CO2B;KY;hydro;0.0107254;0.0108761;0.0094259;0.0124199;0.0145027;0.0144804;0.0144647;0.0144668;0.0144344;0.0143133;0.0143293;EJ
CO2B;KY;wind;0;0;0;0;0.007559165;0.013272757;0.039461976;0.057776935;0.071846926;0.094472767;0.115207469;EJ
CO2B;KY;solar;0;0;0;0;0.017716399;0.028348621;0.063076003;0.103713145;0.14331838;0.212801535;0.272920736;EJ
CO2B;LA;nuclear;0.0541782;0.0585091;0.0697587;0.0573685;0.0573676;0.057382002;0.065125606;0.080503615;0.096140166;0.091042587;0.101335632;EJ
CO2B;LA;hydro;0.002228;0.0029786;0.0040504;0.0036456;0.004257;0.0042504;0.0042458;0.0042464;0.0042369;0.0042014;0.004206;EJ
CO2B;LA;wind;0;0;0;0;0.005649589;0.009836722;0.026580379;0.05523718;0.078095763;0.105683439;0.136580295;EJ
CO2B;LA;solar;0;0;0;0;0.009783796;0.020238654;0.053087727;0.091646152;0.128618698;0.195030218;0.261648556;EJ
CO2B;MA;nuclear;0.0193462;0.0204348;0.022148;0.018728;0.018728;0.018741067;0.021206752;0.008590526;0.013993481;0.023328157;0.038511184;EJ
CO2B;MA;hydro;0.0042016;0.0038253;0.0036037;0.0029811;0.003481;0.0034757;0.0034719;0.0034724;0.0034646;0.0034356;0.0034394;EJ
