scenario;region;sector;input;1990;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;Units;end-use sector
CO2B;AK;trn_aviation_intl;refined liquids;0.020841;0.0383762;0.026815;0.021462;0.0206396;0.0186873;0.0173887;0.0169291;0.017252;0.0167681;0.0165665;EJ;transportation
CO2B;AK;trn_freight;electricity;0;0;0;0;0;3.12E-05;1.32E-04;2.48E-04;3.09E-04;3.56E-04;3.85E-04;EJ;transportation
CO2B;AK;trn_freight;hydrogen;0;0;0;0;0;4.39E-05;1.57E-04;2.93E-04;3.73E-04;4.40E-04;4.87E-04;EJ;transportation
CO2B;AK;trn_freight;refined liquids;0.003661103;0.003556899;0.003525508;0.00266076;0.00256549;0.002359947;0.001944406;0.001477641;0.001283827;0.001184717;0.00110676;EJ;transportation
CO2B;AK;trn_freight_road;electricity;0;0;0;0;0;2.88E-05;2.29E-04;7.70E-04;0.001658338;0.003476117;0.006442743;EJ;transportation
CO2B;AK;trn_freight_road;hydrogen;0;0;0;0;0;1.14E-05;9.01E-05;2.88E-04;6.71E-04;0.001646532;0.002992084;EJ;transportation
CO2B;AK;trn_freight_road;refined liquids;0.05335293;0.05363927;0.05285385;0.04029239;0.03951658;0.037736372;0.034498807;0.031487948;0.027737708;0.019893651;0.011852476;EJ;transportation
CO2B;AK;trn_pass;electricity;0;0;0;0;8.23E-07;1.65E-06;2.62E-06;2.90E-04;7.85E-04;0.003419298;0.010850135;EJ;transportation
CO2B;AK;trn_pass;hydrogen;0;0;0;0;0;0;0;4.67E-05;1.61E-04;8.78E-04;0.00354386;EJ;transportation
CO2B;AK;trn_pass;refined liquids;0.079782991;0.14678509;0.102608891;0.082120094;0.078648697;0.075069385;0.069932207;0.067363275;0.065778434;0.05419566;0.037362262;EJ;transportation
CO2B;AK;trn_pass_road;electricity;0;0;0;0;0;3.47E-06;1.65E-05;4.70E-05;8.15E-05;1.10E-04;1.27E-04;EJ;transportation
CO2B;AK;trn_pass_road;gas;0;9.53E-05;1.28E-04;3.25E-05;4.43E-05;4.20E-05;2.91E-05;1.93E-05;1.46E-05;1.09E-05;8.52E-06;EJ;transportation
CO2B;AK;trn_pass_road;hydrogen;0;0;0;0;0;5.27E-06;2.34E-05;6.25E-05;1.02E-04;1.30E-04;1.40E-04;EJ;transportation
CO2B;AK;trn_pass_road;refined liquids;0.00204592;0.00205691;0.00202674;0.00154508;0.002206331;0.002453823;0.002033621;0.001623641;0.001278794;9.98E-04;8.05E-04;EJ;transportation
CO2B;AK;trn_pass_road_LDV;electricity;0;0;0;0;0;1.28E-05;2.05E-05;2.30E-05;2.61E-05;3.11E-05;3.57E-05;EJ;transportation
CO2B;AK;trn_pass_road_LDV;refined liquids;8.42E-05;1.02E-04;9.96E-05;1.01E-04;8.41E-05;4.55E-05;3.32E-05;3.57E-05;3.75E-05;3.71E-05;3.63E-05;EJ;transportation
CO2B;AK;trn_pass_road_LDV_4W;electricity;0;0;0;0;0;2.17E-04;0.001318767;0.002099342;0.00272552;0.00315032;0.003643959;EJ;transportation
CO2B;AK;trn_pass_road_LDV_4W;hydrogen;0;0;0;0;0;2.25E-05;2.70E-04;4.40E-04;6.45E-04;8.90E-04;0.001308105;EJ;transportation
CO2B;AK;trn_pass_road_LDV_4W;refined liquids;0.023912697;0.029089297;0.028296097;0.028627597;0.025239541;0.021002679;0.016212157;0.013063594;0.010673355;0.0097694;0.008519554;EJ;transportation
CO2B;AK;trn_shipping_intl;refined liquids;0.00119608;1.37E-04;3.79E-04;0;0;0;0;0;0;0;0;EJ;transportation
CO2B;AL;cement;electricity;0.00108997;0.00149853;9.63E-04;9.63E-04;0.00108123;0.001194131;9.81E-04;9.90E-04;0.001000074;9.55E-04;9.59E-04;EJ;industry
